title	instructor	description	url	price	tag	category	rating	thumbnail_url	is_package	is_free	enrollment_count	uploade_date
생활코딩 - Docker 입문	생활코딩	vmware, virtualbox와 같은 가상머신처럼 독립된 실행환경을 제공하면서도, 성능의 저하가 훨씬 적은 도커에 대해서 알려드립니다.	https://edu.goorm.io/lecture/28707/생활코딩-docker-입문	0	도커	프로그래밍-프로그래밍기초	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_CgdWi_1630072325129/coverImage.png?_=1630931631325	False	True		
코딩은 처음이라 with 자바	영진닷컴	〈코딩은 처음이라 with 자바〉 코딩 강좌입니다.	https://edu.goorm.io/lecture/30549/코딩은-처음이라-with-자바	0	자바	프로그래밍-프로그래밍기초	4.7	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_ypmeP_1646359320544/coverImage.png?_=1654849837639	False	True		
처음 만난 리액트(React) v2	소플	자바스크립트와 CSS 기초 문법과 함께 리액트의 기초를 탄탄하게 다질 수 있습니다.	https://edu.goorm.io/lecture/31349/처음-만난-리액트-react-v2	0	리액트-자바스크립트-CSS-HTML	웹프로그래밍-프로그래밍	4.3	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_aiLRR_1651137245666/coverImage.png?_=1651916147188	False	True		
이론부터 쉽게 배우는 IoT	MN만능아카데미	이론부터 쉽게 배울 수 있는 IoT 강의입니다.	https://edu.goorm.io/lecture/30745/이론부터-쉽게-배우는-iot	0	아두이노	프로그래밍-IoT	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_bHWPg_1647788369016/coverImage.png?_=1648709804539	False	True		
입문자를 위한 반응형 웹 기초 강의	유노코딩	다양한 기기와 화면에서 서비스를 제공할 수 있는 '반응형 웹사이트'를 만들기 위해 필요한 기본적인 스킬을 확실하게 익힐 수 있는 강의입니다.	https://edu.goorm.io/lecture/30724/입문자를-위한-반응형-웹-기초-강의	0	CSS-HTML	웹프로그래밍-프로그래밍	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_dVZgw_1647570435027/coverImage.png?_=1648185946818	False	True		
수식 작성을 위한 레이텍(LaTeX) 튜토리얼	Shin's Lab	수식 작성을 위한 LaTeX의 사용법을 배우는 강의입니다.	https://edu.goorm.io/lecture/30570/수식-작성을-위한-레이텍-latex-튜토리얼	15000		프로그래밍-수학	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_iWOxU_1646474244798/coverImage.png?_=1647857800331	False	False		
2022 빅데이터 분석기사(필기)	핵집		https://edu.goorm.io/lecture/30616/2022-빅데이터-분석기사-필기	180000	데이터분석-데이터베이스-빅데이터	프로그래밍-데이터추출/분석	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_oOaag_1646732582469/coverImage.png?_=1646732585021	False	False		
MERN STACK 커뮤니티 : 시작부터 배포까지 알려주는 React	판다코딩	MERN Stack을 활용하여 커뮤니티 어플리케이션을 제작하고, 배포합니다. (MongoDB, Express, React, Node + Firebase)	https://edu.goorm.io/lecture/29977/mern-stack-커뮤니티-시작부터-배포까지-알려주는-react	38500	데이터베이스-리액트-자바스크립트-파이어베이스-node.js	웹프로그래밍-프로그래밍	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_zslaa_1641460359889/coverImage.png?_=1643175918121	False	False		
수학으로부터 인류를 자유롭게 하라(기초대수학편)	Shin's Lab	중고등학교 과정에서 배우는 수학 내용들을 압축한 강의입니다. 필요한 수학적 지식, 테크닉들을 각 아이템마다 많은 연습과 함께 배웁니다.	https://edu.goorm.io/lecture/29926/수학으로부터-인류를-자유롭게-하라-기초대수학편	73000	수학	프로그래밍-수학	4.5	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_bvucO_1641103020622/coverImage.png?_=1641458914514	False	False		
왕초보를 위한 HTML&CSS 웹 개발 입문	짐코딩 GYM CODING	코딩을 처음 접할 때 두려움이 없도록 정말 알기 쉽게 설명 했어요! HTML과 CSS를 배워서 웹 사이트 제작에 필요한 기본을 배울 수 있습니다.	https://edu.goorm.io/lecture/30092/왕초보를-위한-html-css-웹-개발-입문	0	CSS-HTML	프로그래밍-프로그래밍기초	4.8	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_ZLlQz_1642769471714/coverImage.png?_=1642769473566	False	True		
