site,title,instructor,description,url,price,tags,rating,thumbnail_url,is_package,is_free,enrollment_count
인프런,이득우의 언리얼 프로그래밍 Part1 - 언리얼 C++의 이해,청강문화산업대학교,,https://www.inflearn.com/course/%EC%9D%B4%EB%93%9D%EC%9A%B0-%EC%96%B8%EB%A6%AC%EC%96%BC-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-part-1,120000,"게임 프로그래밍,게임 개발,언리얼 c++,unreal engine,중급이상,인프런",5.0,https://cdn.inflearn.com/public/courses/330717/cover/d1d0d860-ba74-4caa-8954-3136206dcd67/330717-eng.png,False,False,0.0
인프런,"자바와 스프링 부트로 생애 최초 서버 만들기, 누구나 쉽게 개발부터 배포까지! [서버 개발 올인원 패키지]",최태현,,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-%EC%84%9C%EB%B2%84%EA%B0%9C%EB%B0%9C-%EC%98%AC%EC%9D%B8%EC%9B%90,120000,"백엔드,웹 개발,java,spring boot,spring,jpa,aws,mysql,초급,인프런",4.95,https://cdn.inflearn.com/public/courses/330186/cover/3bb38317-e5c5-4975-b1df-9baa6f19b73d/330186-eng.png,False,False,0.0
인프런,[인프런x코드캠프] 부트캠프에서 만든 고농축 프론트엔드 코스,코드캠프,,https://www.inflearn.com/course/%EB%B6%80%ED%8A%B8%EC%BA%A0%ED%94%84-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B3%A0%EB%86%8D%EC%B6%95-%EC%BD%94%EC%8A%A4,360000,"프론트엔드,웹 개발,react,next.js,graphql,seo,node.js,입문,인프런",4.885714285714286,https://cdn.inflearn.com/public/courses/329963/cover/26550c58-624a-41c8-86dc-fea75b6c3b22/thumbnail-frontnew.png,False,False,0.0
인프런,[중급편] 코인 가격 모니터링 앱 제작 (Android Kotlin),개복치개발자,,https://www.inflearn.com/course/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A7%81%EC%95%B1,60000,"모바일 앱 개발,kotlin,android,중급이상,인프런",5.0,https://cdn.inflearn.com/public/courses/329934/cover/2780259b-9506-4160-844a-39c9bd90afc9/329934-eng.jpeg,False,False,0.0
인프런,그림으로 쉽게 배우는 자료구조와 알고리즘 (심화편),감자,,https://www.inflearn.com/course/%EA%B7%B8%EB%A6%BC%EC%9C%BC%EB%A1%9C-%EC%89%BD%EA%B2%8C-%EC%9E%90%EB%A3%8C%EA%B5%AC%EC%A1%B0-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EC%8B%AC%ED%99%94,50000,"알고리즘,자료구조,알고리즘,초급,인프런",5.0,https://cdn.inflearn.com/public/courses/329927/cover/80919bc0-fa6c-47d9-b35e-7cd9d9e81c72/329927-eng.png,False,False,0.0
인프런,[2023] 쌩초보도 4시간 안에 마스터하는 자바스크립트 기초,Code with Dan,,https://www.inflearn.com/course/%EC%8C%A9%EC%B4%88%EB%B3%B4-4%EC%8B%9C%EA%B0%84-%EB%A7%88%EC%8A%A4%ED%84%B0-%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EA%B8%B0%EC%B4%88,36000,"프로그래밍 언어,웹 개발,javascript,입문,인프런",5.0,https://cdn.inflearn.com/public/courses/329714/cover/6f6caf5c-0b81-41b0-8a7a-682f32e9d5c1/329714-original.jpg,False,False,0.0
인프런,곰책으로 쉽게 배우는 최소한의 운영체제론,널널한 개발자,,https://www.inflearn.com/course/%EA%B3%B0%EC%B1%85-%EC%89%BD%EA%B2%8C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C,10000,"교양,기타,시스템,운영체제,입문,인프런",5.0,https://cdn.inflearn.com/public/courses/329679/cover/6fb271d2-3acc-4b86-97a8-7a0a58f7c684/329679-eng.jpg,False,False,0.0
인프런,외워서 끝내는 네트워크 핵심이론 - 기초,널널한 개발자,,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%ED%95%B5%EC%8B%AC%EC%9D%B4%EB%A1%A0-%EA%B8%B0%EC%B4%88,70000,"네트워크,교양,기타,웹 개발,네트워크,프로토콜,입문,인프런",4.967391304347826,https://cdn.inflearn.com/public/courses/329534/cover/76d5fd7f-3e76-4801-bb8f-523d10ff5829/329534-eng.jpg,False,False,0.0
인프런,디자인 시스템 with 피그마,범쌤 ,,https://www.inflearn.com/course/%EB%94%94%EC%9E%90%EC%9D%B8-%EC%8B%9C%EC%8A%A4%ED%85%9C-with-%ED%94%BC%EA%B7%B8%EB%A7%88,40000,"ux/ui,프론트엔드,디자인 툴,figma,figma tokens,디자인 시스템,아토믹 디자인,초급,인프런",5.0,https://cdn.inflearn.com/public/courses/329506/cover/e517abf7-8899-42f6-92f9-dd34c9bf4ed8/thumb5.png,False,False,0.0
인프런,[리뉴얼] 타입스크립트 올인원 : Part2. 실전 분석편,조현영,,https://www.inflearn.com/course/%ED%83%80%EC%9E%85%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EC%98%AC%EC%9D%B8%EC%9B%90-2,37000,"프로그래밍 언어,웹 개발,typescript,중급이상,인프런",5.0,https://cdn.inflearn.com/public/courses/329424/cover/5ae4e14d-c643-46be-9d4d-be3987a1f883/329424-eng.png,False,False,0.0
